cell,d,k,sigma,N,encoding,cluster,r2_bb,r2_law,Lambda,depth_sel,terms_sel,law_top1_regret,law_top5_regret,law_spearman,bb_top1_regret,bb_top5_regret,bb_spearman
189,9,1,0.3,300,binary,d9_k1_s0.3,0.8814959665591633,0.7201881065966341,0.8170066953429416,2.0,4.0,0.11179502906000144,0.11179502906000144,0.894511708071734,0.0,0.0,0.986749454761289
190,9,2,0.0,30,integer,d9_k2_s0.0,0.7789121660673716,-0.5382989182309106,0.0,2.0,4.0,0.17917031534955338,0.17917031534955338,0.40732063077869674,0.0,0.0,0.9891817448859054
191,9,2,0.0,100,integer,d9_k2_s0.0,0.9776514400635554,0.6831138361584493,0.6987294327659778,2.0,4.0,0.18959341403646357,0.0537424429653279,0.8877422983893648,0.0,0.0,0.9956792229951437
192,9,2,0.0,300,integer,d9_k2_s0.0,0.9917683615150779,0.7781275750999677,0.7845860034406207,2.0,4.0,0.0537424429653279,0.0,0.8495276563343025,0.0,0.0,0.9982123638272739
193,9,2,0.1,30,integer,d9_k2_s0.1,0.9051635986554176,-0.45971718449195276,0.0,2.0,4.0,0.3357673752121109,0.0537424429653279,0.5378263564284117,0.0,0.0,0.982702079387996
194,9,2,0.1,100,integer,d9_k2_s0.1,0.9497021722700609,0.6030910296863051,0.6350317471052471,2.0,4.0,0.20485177517943973,0.0,0.8882231346655144,0.0,0.0,0.9924971406071288
195,9,2,0.1,300,integer,d9_k2_s0.1,0.979806039062234,0.7776083553129864,0.7936349892854614,2.0,4.0,0.4901205683543891,0.0,0.8653449084056775,0.0,0.0,0.9952744079650498
196,9,2,0.3,30,integer,d9_k2_s0.3,0.7708833235324694,0.3703775692524607,0.48045866079351046,1.0,4.0,0.7756503524886588,0.20485177517943973,0.6379895529504888,0.08290817799677022,0.0,0.9312845705285657
197,9,2,0.3,100,integer,d9_k2_s0.3,0.8683276789482147,0.6574413177501393,0.7571350466985951,2.0,4.0,0.1668811594607993,0.0,0.8644249211955976,0.08290817799677022,0.0,0.9867569797311233
198,9,2,0.3,300,integer,d9_k2_s0.3,0.8808376264906173,0.7428806471794982,0.8433797840122256,2.0,4.0,0.20485177517943973,0.0,0.9021349729187383,0.0,0.0,0.9810518815742598
199,9,2,0.0,30,continuous,d9_k2_s0.0,0.9083763734142983,0.2569088678268492,0.28282204969864017,1.0,4.0,0.036235764366380034,0.0,0.8071098569366059,0.0,0.0,0.9906300039375245
200,9,2,0.0,100,continuous,d9_k2_s0.0,0.9878844609920971,0.7425348731793723,0.7516414140512656,2.0,4.0,0.0,0.0,0.9244334652091575,0.0,0.0,0.9957157857236607
