family,d_nom,d_eff,rep,r2_law,top1_regret,n_terms,traj,depth_sel
michaelis_menten,67,3,17,0.9404708556523655,0.0,7.0,t1,
michaelis_menten,67,3,18,0.9754198310611442,0.0,6.0,t1,
michaelis_menten,67,3,19,0.9583651322848604,0.0,6.0,t1,
michaelis_menten,67,5,0,0.9875420322468832,0.0,8.0,t1,
michaelis_menten,67,5,1,0.9364696212334772,0.0085674780680996,8.0,t1,
michaelis_menten,67,5,2,0.962710326751274,0.0,10.0,t1,
michaelis_menten,67,5,3,0.940430828357331,0.0,8.0,t1,
michaelis_menten,67,5,4,0.9361750021431734,0.0098207794404577,10.0,t1,
michaelis_menten,67,5,5,0.9149381937522708,0.0,7.0,t1,
michaelis_menten,67,5,6,0.948592991375144,0.0,6.0,t1,
michaelis_menten,67,5,7,0.9046713563175702,0.1868677949992887,9.0,t1,
michaelis_menten,67,5,8,0.929168300672787,0.0,7.0,t1,
michaelis_menten,67,5,9,0.9635193724989004,0.0,10.0,t1,
michaelis_menten,67,5,10,0.9536113992612348,0.0,8.0,t1,
michaelis_menten,67,5,11,0.9826124645592018,0.0239520731765957,8.0,t1,
michaelis_menten,67,5,12,0.8593490080404718,0.0,8.0,t1,
michaelis_menten,67,5,13,0.917326012303428,0.0132943907291189,7.0,t1,
michaelis_menten,67,5,14,0.9644583543189998,0.0274075191552979,10.0,t1,
michaelis_menten,67,5,15,0.925544795013708,0.0,8.0,t1,
michaelis_menten,67,5,16,0.9417557887884184,0.0372622992375708,4.0,t1,
michaelis_menten,67,5,17,0.902027291304044,0.1297841478023221,5.0,t1,
michaelis_menten,67,5,18,0.9634724205586872,0.0,6.0,t1,
michaelis_menten,67,5,19,0.947281146432741,0.0,8.0,t1,
michaelis_menten,67,9,0,0.7902126946670063,0.0,10.0,t1,
michaelis_menten,67,9,1,0.7786444558971277,0.0504887621021898,10.0,t1,
michaelis_menten,67,9,2,0.8073665502246895,0.0,10.0,t1,
michaelis_menten,67,9,3,0.8655251946085701,0.0,9.0,t1,
michaelis_menten,67,9,4,0.853924991080605,0.0150943796640644,10.0,t1,
michaelis_menten,67,9,5,0.8516194946941728,0.0126951561500172,10.0,t1,
michaelis_menten,67,9,6,0.8840184640012685,0.3042246473369117,10.0,t1,
michaelis_menten,67,9,7,0.8586444198762674,0.0896849862001268,10.0,t1,
michaelis_menten,67,9,8,0.7400735034080979,0.0757808168130703,10.0,t1,
michaelis_menten,67,9,9,0.9079782452396236,0.0,10.0,t1,
michaelis_menten,67,9,10,0.8408018820727549,0.0423720647671852,9.0,t1,
michaelis_menten,67,9,11,0.8832952878184506,0.1049478831440522,7.0,t1,
michaelis_menten,67,9,12,0.8846757896955166,0.0334617538504943,10.0,t1,
michaelis_menten,67,9,13,0.8708449984514857,0.0273168115747839,10.0,t1,
michaelis_menten,67,9,14,0.8626005782547593,0.0,10.0,t1,
michaelis_menten,67,9,15,0.7977456237801158,0.1197843833509046,9.0,t1,
michaelis_menten,67,9,16,0.8480568095023227,0.0547606976960521,10.0,t1,
michaelis_menten,67,9,17,0.8711094492814648,0.0,8.0,t1,
michaelis_menten,67,9,18,0.8639177851144572,0.1512931554360817,10.0,t1,
michaelis_menten,67,9,19,0.7884722471510056,0.0310281307533892,10.0,t1,
additive_linear,9,3,0,0.9555463445131818,0.0,6.0,t1,
additive_linear,9,3,1,0.9826886973052932,0.0,5.0,t1,
additive_linear,9,3,2,0.9595688740943188,0.0,5.0,t1,
additive_linear,9,3,3,0.95193604524756,0.0,6.0,t1,
additive_linear,9,3,4,0.9498352320155996,0.0,6.0,t1,
additive_linear,9,3,5,0.9719861895188484,0.0,8.0,t1,
additive_linear,9,3,6,0.9760000404929938,0.0,5.0,t1,
additive_linear,9,3,7,0.95896515532056,0.0,4.0,t1,
additive_linear,9,3,8,0.9880564725919324,0.0,6.0,t1,
additive_linear,9,3,9,0.9846454989649104,0.0,4.0,t1,
additive_linear,9,3,10,0.969848451728049,0.0,6.0,t1,
additive_linear,9,3,11,0.9693256083041804,0.0,7.0,t1,
additive_linear,9,3,12,0.9574520446791795,0.0,4.0,t1,
additive_linear,9,3,13,0.9791353480530623,0.0,4.0,t1,
additive_linear,9,3,14,0.9397543415600236,0.0,4.0,t1,
additive_linear,9,3,15,0.97080732308929,0.0,6.0,t1,
additive_linear,9,3,16,0.96900654902759,0.0,5.0,t1,
additive_linear,9,3,17,0.9656729214458718,0.0,6.0,t1,
additive_linear,9,3,18,0.9574258007534828,0.0,4.0,t1,
additive_linear,9,3,19,0.9732362423777284,0.0,6.0,t1,
additive_linear,9,5,0,0.9651444757723104,0.1669519304516122,8.0,t1,
additive_linear,9,5,1,0.944120283570106,0.0461007925618882,7.0,t1,
additive_linear,9,5,2,0.936901064963534,0.0,10.0,t1,
additive_linear,9,5,3,0.9351710432088852,0.0581678909274902,10.0,t1,
additive_linear,9,5,4,0.9307754768197276,0.0538417433314712,9.0,t1,
additive_linear,9,5,5,0.9279967622902529,0.0,10.0,t1,
additive_linear,9,5,6,0.9603841616597728,0.0900784676045175,7.0,t1,
additive_linear,9,5,7,0.958397330727384,0.1165843967707546,10.0,t1,
additive_linear,9,5,8,0.954997418663984,0.1939475259192797,9.0,t1,
additive_linear,9,5,9,0.9494723165418434,0.0,8.0,t1,
additive_linear,9,5,10,0.9715408467810556,0.0,8.0,t1,
additive_linear,9,5,11,0.9224412015677312,0.0,10.0,t1,
additive_linear,9,5,12,0.9701341517623532,0.0,10.0,t1,
additive_linear,9,5,13,0.9531426445965764,0.0,8.0,t1,
additive_linear,9,5,14,0.9587597162413016,0.0,9.0,t1,
additive_linear,9,5,15,0.9778473278728458,0.0,10.0,t1,
additive_linear,9,5,16,0.9709012198176252,0.0,8.0,t1,
additive_linear,9,5,17,0.9466966483491136,0.0855567359647563,10.0,t1,
additive_linear,9,5,18,0.9557889263713212,0.0,9.0,t1,
additive_linear,9,5,19,0.9113829896129167,0.2448345056408182,7.0,t1,
additive_linear,9,9,0,0.7870568018532887,0.0,9.0,t1,
additive_linear,9,9,1,0.8144941758377144,0.1753611278925163,10.0,t1,
additive_linear,9,9,2,0.7660045545342071,0.0,10.0,t1,
additive_linear,9,9,3,0.7968575265597887,0.1521892186519177,10.0,t1,
additive_linear,9,9,4,0.7456533014675366,0.0966568926876983,10.0,t1,
additive_linear,9,9,5,0.7033263918030037,0.1516869507734832,8.0,t1,
additive_linear,9,9,6,0.7433404692774795,0.0119117420600955,10.0,t1,
additive_linear,9,9,7,0.8245606603169412,0.3533191323452996,9.0,t1,
additive_linear,9,9,8,0.8360524747939765,0.0082051937986271,9.0,t1,
additive_linear,9,9,9,0.7785605847619064,0.3747450055951526,10.0,t1,
additive_linear,9,9,10,0.7527774626687455,0.0,8.0,t1,
additive_linear,9,9,11,0.7086769559291158,0.0240469876653325,10.0,t1,
additive_linear,9,9,12,0.8740914906774444,0.0,10.0,t1,
additive_linear,9,9,13,0.7872380832936186,0.2285687299953532,9.0,t1,
additive_linear,9,9,14,0.8905228529975441,0.1525445575034521,10.0,t1,
additive_linear,9,9,15,0.8431513436483884,0.0,10.0,t1,
additive_linear,9,9,16,0.8042119623829612,0.1667479424279288,10.0,t1,
additive_linear,9,9,17,0.8448052938182248,4.778515621817882,10.0,t1,
additive_linear,9,9,18,0.748085477215406,0.3155230238379639,10.0,t1,
additive_linear,9,9,19,0.8410135706291167,0.1004764337141664,9.0,t1,
additive_linear,20,3,0,0.9632898649953372,0.0,6.0,t1,
additive_linear,20,3,1,0.9724122104145274,0.0,5.0,t1,
additive_linear,20,3,2,0.9606700102659128,0.0,6.0,t1,
additive_linear,20,3,3,0.9356908029723362,0.0,6.0,t1,
additive_linear,20,3,4,0.9728273446720132,0.0,6.0,t1,
additive_linear,20,3,5,0.9869971446947025,0.0,8.0,t1,
additive_linear,20,3,6,0.9582316144647032,0.0,6.0,t1,
additive_linear,20,3,7,0.9731570564340822,0.0,6.0,t1,
additive_linear,20,3,8,0.9736596915613224,0.0,5.0,t1,
additive_linear,20,3,9,0.9820519164768294,0.0,4.0,t1,
additive_linear,20,3,10,0.9681991496618332,0.0,6.0,t1,
additive_linear,20,3,11,0.963691443620621,0.0,7.0,t1,
additive_linear,20,3,12,0.9709928288111764,0.0,5.0,t1,
additive_linear,20,3,13,0.9836153170268486,0.0,6.0,t1,
additive_linear,20,3,14,0.9755722285792048,0.0,6.0,t1,
additive_linear,20,3,15,0.966189673193234,0.0045259775355524,6.0,t1,
